"StopUID","StopID","StopName.Zh_tw","StopName.En","StopPosition.PositionLat","StopPosition.PositionLon"
"THB-VO14-2295191","295191","上帝廟","Shangdi Temple","22.96905","120.27396"
"THB-VO14-2295192","295192","南保","Nanbao","22.96816","120.28152"
"THB-VO14-2294980","294980","姓李仔","Xinglizi","22.96775","120.2856"
"THB-VO14-2294981","294981","後市","Houshi","22.96733","120.28838"
"THB-VO14-2294982","294982","歸仁公所","GuirenTownship Office","22.96673","120.29372"
"THB-VO14-2294983","294983","善化寺","Shanhua Temple","22.96606","120.30061"
"THB-VO14-2294984","294984","看東里","Kandong Village","22.96539","120.30393"
"THB-VO14-2294985","294985","修元堂","Xiuyuantang","22.96446","120.30708"
"THB-VO14-2294986","294986","歸仁交流道","Keli Company","22.9628","120.3127"
"THB-VO14-2294987","294987","大亞公司","Daya Company","22.96195","120.31621"
"THB-VO14-2294988","294988","關廟","Guanmiao","22.96039","120.32482"
"THB-VO14-2295193","295193","關廟市場","Guanmiao Market","22.96225","120.3284"
"THB-VO14-2294989","294989","北勢里","Beishi Village","22.9618","120.33076"
"THB-VO14-2294990","294990","花園","Huayuan","22.96326","120.33475"
"THB-VO14-2295194","295194","果菜市場","Fruits and Vegetables Market","22.96331","120.33763"
"THB-VO14-2295195","295195","仰龍橋","Yanglong Bridge","22.96719","120.34476"
"THB-VO14-2295196","295196","牛稠埔","Niuchoupu","22.96805","120.35027"
"THB-VO14-2295197","295197","九天宮","Jiutian Temple","22.96867","120.35419"
"THB-VO14-2295198","295198","龍崎","Longqi","22.96476","120.36015"
"THB-VO14-2295199","295199","龍崎區公所","Longqi Township Office","22.96305","120.36526"
"THB-VO14-2295200","295200","崎腳路口","Qijiao Rd. Intersection","22.95961","120.36967"
"THB-VO14-2295201","295201","大溪口","Daxikou","22.95623","120.37442"
"THB-VO14-2295202","295202","中坑","Zhongkeng","22.95046","120.38181"
"THB-VO14-2300453","300453","龍崎文衡殿","Longqiwenhengdian","22.949089","120.38274"
"THB-VO14-2295203","295203","過嶺路口","Guoling Rd. Intersection","22.95102","120.38597"
"THB-VO14-2295204","295204","龍船","Longchuan","22.94805","120.39243"
"THB-VO14-2294991","294991","石槽","Shicao","22.94671","120.40074"
"THB-VO14-2295205","295205","後壁溪","Houbixi","22.94627","120.40913"
"THB-VO14-2294992","294992","苦苓湖","Kulinghu","22.9451","120.4174"
"THB-VO14-2295206","295206","五間","Wujian","22.94357","120.42339"
"THB-VO14-2295207","295207","烏山腳路口","Wushanjiao Rd. Intersection","22.94011","120.42303"
"THB-VO14-2295208","295208","烏山腳","Wushanjiao","22.93641","120.42217"
"THB-VO14-2295209","295209","烏山頭","Wushantou","22.92364","120.41945"
"THB-VO14-2295210","295210","七號橋","7th Bridge","22.92537","120.43175"
"THB-VO14-2294993","294993","內東里","Neidong Village","22.92083","120.4367"
"THB-VO14-2295211","295211","小烏山","Xiaowushan","22.92551","120.4422"
"THB-VO14-2294994","294994","竹圍","Zhuwei","22.92775","120.44474"
"THB-VO14-2295212","295212","內門衛生所","Neimen Health Center","22.92435","120.45367"
"THB-VO14-2294995","294995","中埔頭","Zhongputou","22.92357","120.45393"
"THB-VO14-2294996","294996","中埔","Zhongpu","22.92003","120.45112"
"THB-VO14-2294997","294997","觀音亭","Guanyinting","22.918242","120.453839"
"THB-VO14-2294998","294998","農會","Farmer Assc.","22.91721","120.45712"
"THB-VO14-2294999","294999","二層橋","Erceng Bridge","22.91713","120.46149"
"THB-VO14-2295000","295000","石溝","Shigou","22.9112","120.46606"
"THB-VO14-2295002","295002","實踐大學","Shih Chien University","22.904498","120.467244"
"THB-VO14-2295003","295003","嶺頂","Lingding","22.90681","120.47509"
"THB-VO14-2295213","295213","朝天宮","Zhaotian Temple","22.9037","120.47916"
"THB-VO14-2295004","295004","旗山監理站","Qishan Motor Vehicles Station","22.90052","120.4791"
"THB-VO14-2295007","295007","旗山市場","Qishan Market","22.88957","120.48315"
"THB-VO14-2295214","295214","德昌路","Dechang Road","22.88162","120.48203"
