Regent,Price
2012/9/17,236.92
2012/9/18,233.58
2012/9/19,236.92
2012/9/20,232.92
2012/9/21,242.93
2012/9/24,242.59
2012/9/25,237.59
2012/9/26,233.58
2012/9/27,233.92
2012/9/28,234.59
2012/10/1,235.59
2012/10/2,238.26
2012/10/3,234.59
2012/10/4,230.91
2012/10/5,231.25
2012/10/8,230.25
2012/10/9,225.58
2012/10/11,224.24
2012/10/12,222.24
2012/10/15,219.24
2012/10/16,227.24
2012/10/17,224.57
2012/10/18,225.58
2012/10/19,227.58
2012/10/22,226.24
2012/10/23,224.24
2012/10/24,221.24
2012/10/25,220.9
2012/10/26,217.57
2012/10/29,205.22
2012/10/30,206.89
2012/10/31,208.56
2012/11/1,207.22
2012/11/2,208.22
2012/11/5,208.22
2012/11/6,210.56
2012/11/7,220.9
2012/11/8,219.9
2012/11/9,221.57
2012/11/12,218.23
2012/11/13,215.23
2012/11/14,218.9
2012/11/15,220.24
2012/11/16,218.9
2012/11/19,220.57
2012/11/20,216.9
2012/11/21,218.57
2012/11/22,218.9
2012/11/23,222.91
2012/11/26,222.57
2012/11/27,223.57
2012/11/28,225.58
2012/11/29,226.91
2012/11/30,230.25
2012/12/3,238.26
2012/12/4,239.92
2012/12/5,243.26
2012/12/6,237.59
2012/12/7,237.25
2012/12/10,238.26
2012/12/11,236.25
2012/12/12,236.92
2012/12/13,242.26
2012/12/14,240.26
2012/12/17,239.92
2012/12/18,239.59
2012/12/19,240.93
2012/12/20,244.26
2012/12/21,247.27
2012/12/22,246.26
2012/12/24,246.93
2012/12/25,250.27
2012/12/26,258.61
2012/12/27,257.28
2012/12/28,259.95
2013/1/2,261.61
2013/1/3,254.27
2013/1/4,248.27
2013/1/7,250.6
2013/1/8,245.6
2013/1/9,245.26
2013/1/10,252.94
2013/1/11,248.6
2013/1/14,247.6
2013/1/15,244.93
2013/1/16,240.93
2013/1/17,236.59
2013/1/18,240.26
2013/1/21,241.26
2013/1/22,241.26
2013/1/23,243.59
2013/1/24,240.93
2013/1/25,238.26
2013/1/28,238.92
2013/1/29,240.93
2013/1/30,239.59
2013/1/31,240.93
2013/2/1,243.26
2013/2/4,246.93
2013/2/5,243.59
2013/2/6,243.93
2013/2/18,240.26
2013/2/19,245.26
2013/2/20,242.93
2013/2/21,244.93
2013/2/22,242.93
2013/2/23,242.59
2013/2/25,242.59
2013/2/26,241.93
2013/2/27,244.6
2013/3/1,245.93
2013/3/4,244.26
2013/3/5,243.26
2013/3/6,242.59
2013/3/7,240.26
2013/3/8,241.93
2013/3/11,247.93
2013/3/12,243.26
2013/3/13,241.93
2013/3/14,238.26
2013/3/15,237.59
2013/3/18,234.59
2013/3/19,229.91
2013/3/20,220.24
2013/3/21,218.57
2013/3/22,220.24
2013/3/25,221.9
2013/3/26,222.91
2013/3/27,224.91
2013/3/28,225.58
2013/3/29,228.24
2013/4/1,225.58
2013/4/2,223.57
2013/4/3,226.91
2013/4/8,218.9
2013/4/9,216.57
2013/4/10,213.56
2013/4/11,216.57
2013/4/12,215.56
2013/4/15,209.22
2013/4/16,207.56
2013/4/17,210.89
2013/4/18,213.9
2013/4/19,216.9
2013/4/22,217.23
2013/4/23,214.9
2013/4/24,217.57
2013/4/25,216.23
2013/4/26,214.9
2013/4/29,214.23
2013/4/30,214.9
2013/5/2,215.56
2013/5/3,220.57
2013/5/6,220.9
2013/5/7,222.24
2013/5/8,227.24
2013/5/9,228.58
2013/5/10,228.24
2013/5/13,224.91
2013/5/14,223.57
2013/5/15,226.24
2013/5/16,226.24
2013/5/17,224.57
2013/5/20,225.58
2013/5/21,228.58
2013/5/22,233.58
2013/5/23,228.91
2013/5/24,229.25
